"Lead Shipment Number","Tracking Number","Account Number","Invoice Number","Invoice Date",Service,"Ship Date",Zone,"Actual Weight","Original Billed weight","Proposed Billed Weight",Length,Width,Height,Volume,"Container Type","From City","From Zip","From Country","To City","To Zip","To Country","Current Published Rate","Currrent Discount($)","Proposed Discount(%)","Proposed Published Rate","Proposed Discounted Published Rate","CurrentTotal Surcharges","Proposed Total Surcharges","Fuel Surcharge(%)","Fuel Net Charge","Current Total Cost","Proposed Total Cost",Diff($),currentResi,proposedResi,currentDasC,proposedDasC,currentDasCExt,proposedDasCExt,currentDasR,proposedDasR,currentDasRExt,proposedDasRExt,currentHandling,proposedHandling,currentOs,proposedOs,currentRemoteAk,proposedRemoteAk,currentRemoteHi,proposedRemoteHi,currentAddressCorr,proposedAddressCorr,currentHandlingWt,proposedHandlingWt,currentOverMax,proposedOverMax,currentAdultSig,proposedAdultSig,Exception
1Z3404530367140158,1Z3404530366492762,0000340453,000000340453133,2023-04-01,"Ground Comm(D)",2023-03-24,Miscellaneous,"50.00 lb","50.00 lb","50.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,PITTSBURGH,15219,US,17.87,0.00,0.00,,,2.68,,15.25,,20.55,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
,1Z1789X70278497755,00001789X7,0000001789X7063,2023-02-11,"2Day PM(D)",2023-02-10,"301-600 Miles","0.00 lb","0.00 lb","0.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",LTR,,,,ATLANTA,30349,US,24.66,12.19,71.00,,,2.75,,22.00,,15.22,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Published Rate not found for this service"
1Z3404530367140158,1Z3404530365771579,0000340453,000000340453133,2023-04-01,"Ground Comm(D)",2023-03-24,Miscellaneous,"50.00 lb","50.00 lb","50.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,PITTSBURGH,15219,US,17.87,0.00,0.00,,,2.68,,15.25,,20.55,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530367140158,1Z3404530367580585,0000340453,000000340453133,2023-04-01,"Ground Comm(D)",2023-03-24,Miscellaneous,"50.00 lb","50.00 lb","50.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,PITTSBURGH,15219,US,17.89,0.00,0.00,,,2.68,,15.25,,20.57,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530366736972,1Z3404530366736972,0000340453,000000340453053,2023-02-04,"Ground Comm(D)",2023-01-27,Miscellaneous,"35.00 lb","38.00 lb","38.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,DOUGLAS,31533,US,17.99,0.00,0.00,,,2.79,,16.00,,20.78,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530366736972,1Z3404530367213981,0000340453,000000340453053,2023-02-04,"Ground Comm(D)",2023-01-27,Miscellaneous,"35.00 lb","38.00 lb","38.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,DOUGLAS,31533,US,17.99,0.00,0.00,,,2.79,,16.00,,20.78,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530366736972,1Z3404530367065196,0000340453,000000340453053,2023-02-04,"Ground Comm(D)",2023-01-27,Miscellaneous,"35.00 lb","38.00 lb","38.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,DOUGLAS,31533,US,17.99,0.00,0.00,,,2.79,,16.00,,20.78,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530366736972,1Z3404530365054602,0000340453,000000340453053,2023-02-04,"Ground Comm(D)",2023-01-27,Miscellaneous,"35.00 lb","37.00 lb","37.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,DOUGLAS,31533,US,17.53,0.00,0.00,,,2.72,,16.00,,20.25,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
,1Z1789X70277765743,00001789X7,0000001789X7153,2023-04-15,"2Day PM(D)",2023-04-01,"301-600 Miles","0.00 lb","0.00 lb","0.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",LTR,"NEW ORLEANS",701233170,US,ATLANTA,30349,US,24.66,12.19,71.00,,,20.48,16.00,15.75,0.00,32.95,16.00,16.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Published Rate not found for this service"
,1Z1789X70278184824,00001789X7,0000001789X7183,2023-05-06,"2Day PM(D)",2023-05-01,"301-600 Miles","0.00 lb","0.00 lb","0.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",LTR,"NEW ORLEANS",701233170,US,JACKSONVILLE,32207,US,24.66,12.19,71.00,,,1.77,,14.25,,14.24,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Published Rate not found for this service"
,1Z1789X70278003966,00001789X7,0000001789X7153,2023-04-15,"2Day PM(D)",2023-04-12,"301-600 Miles","0.00 lb","0.00 lb","0.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",LTR,,,,ATLANTA,30349,US,24.66,12.19,71.00,,,2.00,,16.00,,14.47,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Published Rate not found for this service"
,1Z1789X70276331436,00001789X7,0000001789X7183,2023-05-06,"2Day PM(D)",2023-05-01,"301-600 Miles","0.00 lb","0.00 lb","0.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",LTR,,,,ATLANTA,30349,US,24.66,12.19,71.00,,,1.77,,14.25,,14.24,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Published Rate not found for this service"
,1Z813VF70141574634,0000343260,000000343260053,2023-02-04,"1Day AM(D)",2023-01-30,"601-1000 Miles","1.00 lb","0.00 lb","0.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",LTR,PEORIA,"61629 0001",US,MIDWAY,32343,US,50.66,30.90,75.00,,,4.20,,21.25,,23.96,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Published Rate not found for this service"
,1Z1789X70277299337,00001789X7,0000001789X7033,2023-01-21,"2Day PM(D)",2023-01-13,"301-600 Miles","0.00 lb","0.00 lb","0.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",LTR,"NEW ORLEANS",701233170,US,ATLANTA,30349,US,24.66,12.19,71.00,,,2.15,,19.50,,14.62,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Published Rate not found for this service"
1Z3404530365157260,1Z3404530365157260,0000340453,000000340453073,2023-02-18,"Ground Comm(D)",2023-02-10,Miscellaneous,"50.00 lb","50.00 lb","50.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,DUBLIN,31021,US,17.87,0.00,0.00,,,2.81,,16.25,,20.68,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530365157260,1Z3404530366026079,0000340453,000000340453073,2023-02-18,"Ground Comm(D)",2023-02-10,Miscellaneous,"50.00 lb","50.00 lb","50.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,DUBLIN,31021,US,17.87,0.00,0.00,,,2.81,,16.25,,20.68,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530365157260,1Z3404530365225089,0000340453,000000340453073,2023-02-18,"Ground Comm(D)",2023-02-10,Miscellaneous,"50.00 lb","50.00 lb","50.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,DUBLIN,31021,US,17.87,0.00,0.00,,,2.81,,16.25,,20.68,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
,1Z1789X70278203544,00001789X7,0000001789X7123,2023-03-25,"2Day PM(D)",2023-03-17,"301-600 Miles","0.00 lb","0.00 lb","0.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",LTR,"NEW ORLEANS",701233170,US,ATLANTA,30349,US,24.66,12.19,71.00,,,2.21,,17.75,,14.68,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Published Rate not found for this service"
1Z3404530365157260,1Z3404530367038297,0000340453,000000340453073,2023-02-18,"Ground Comm(D)",2023-02-10,Miscellaneous,"50.00 lb","50.00 lb","50.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,DUBLIN,31021,US,17.89,0.00,0.00,,,2.82,,16.25,,20.71,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530366659734,1Z3404530366659734,0000340453,000000340453163,2023-04-22,"Ground Comm(D)",2023-04-20,Miscellaneous,"30.00 lb","30.00 lb","30.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,"POMPANO BEACH",33069,US,9.48,0.00,0.00,,,1.40,,15.00,,10.88,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530366659734,1Z3404530366975946,0000340453,000000340453163,2023-04-22,"Ground Comm(D)",2023-04-20,Miscellaneous,"30.00 lb","30.00 lb","30.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,"POMPANO BEACH",33069,US,9.48,0.00,0.00,,,1.40,,15.00,,10.88,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530366659734,1Z3404530365730354,0000340453,000000340453163,2023-04-22,"Ground Comm(D)",2023-04-20,Miscellaneous,"30.00 lb","30.00 lb","30.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,"POMPANO BEACH",33069,US,9.48,0.00,0.00,,,1.40,,15.00,,10.88,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530366659734,1Z3404530367566967,0000340453,000000340453163,2023-04-22,"Ground Comm(D)",2023-04-20,Miscellaneous,"30.00 lb","30.00 lb","30.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,"POMPANO BEACH",33069,US,9.48,0.00,0.00,,,1.40,,15.00,,10.88,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530366659734,1Z3404530365609772,0000340453,000000340453163,2023-04-22,"Ground Comm(D)",2023-04-20,Miscellaneous,"30.00 lb","30.00 lb","30.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,"POMPANO BEACH",33069,US,9.48,0.00,0.00,,,1.40,,15.00,,10.88,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
,1Z813VF70140676286,0000343260,000000343260133,2023-04-01,"1Day AM(D)",2023-03-30,"601-1000 Miles","1.00 lb","0.00 lb","0.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",LTR,PEORIA,"61629 0001",US,MIDWAY,32343,US,50.66,30.90,75.00,,,3.11,,15.75,,22.87,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Published Rate not found for this service"
1Z3404530366659734,1Z3404530366062780,0000340453,000000340453163,2023-04-22,"Ground Comm(D)",2023-04-20,Miscellaneous,"30.00 lb","30.00 lb","30.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,"POMPANO BEACH",33069,US,9.48,0.00,0.00,,,1.40,,15.00,,10.88,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530366659734,1Z3404530367809990,0000340453,000000340453163,2023-04-22,"Ground Comm(D)",2023-04-20,Miscellaneous,"30.00 lb","30.00 lb","30.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,"POMPANO BEACH",33069,US,9.48,0.00,0.00,,,1.40,,15.00,,10.88,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530366659734,1Z3404530366015401,0000340453,000000340453163,2023-04-22,"Ground Comm(D)",2023-04-20,Miscellaneous,"30.00 lb","30.00 lb","30.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,"POMPANO BEACH",33069,US,9.48,0.00,0.00,,,1.40,,15.00,,10.88,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
,1Z1789X70278261302,00001789X7,0000001789X7133,2023-04-01,"2Day PM(D)",2023-03-28,"301-600 Miles","0.00 lb","0.00 lb","0.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",LTR,,,,ATLANTA,30349,US,24.66,12.19,71.00,,,1.96,,15.75,,14.43,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Published Rate not found for this service"
,1Z1789X70278006016,00001789X7,0000001789X7013,2023-01-07,"2Day PM(D)",2023-01-03,"301-600 Miles","0.00 lb","0.00 lb","0.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",LTR,,,,ATLANTA,30349,US,24.66,12.19,71.00,,,2.18,,17.25,,14.65,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Published Rate not found for this service"
,1Z1789X70278055062,00001789X7,0000001789X7163,2023-04-22,"2Day PM(D)",2023-04-18,"301-600 Miles","0.00 lb","0.00 lb","0.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",LTR,,,,ATLANTA,30349,US,24.66,12.19,71.00,,,1.96,,15.75,,14.43,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Published Rate not found for this service"
1Z3404530367664271,1Z3404530365507284,0000340453,000000340453103,2023-03-11,"Ground Comm(D)",2023-03-06,Miscellaneous,"35.00 lb","38.00 lb","38.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,DUBLIN,31021,US,17.99,0.00,0.00,,,2.70,,15.50,,20.69,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530367664271,1Z3404530366444493,0000340453,000000340453103,2023-03-11,"Ground Comm(D)",2023-03-06,Miscellaneous,"35.00 lb","38.00 lb","38.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,DUBLIN,31021,US,17.99,0.00,0.00,,,2.70,,15.50,,20.69,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530367664271,1Z3404530365639909,0000340453,000000340453103,2023-03-11,"Ground Comm(D)",2023-03-06,Miscellaneous,"35.00 lb","37.00 lb","37.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,DUBLIN,31021,US,17.53,0.00,0.00,,,2.63,,15.50,,20.16,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
,1Z1789X70277719990,00001789X7,0000001789X7043,2023-01-28,"2Day PM(D)",2023-01-20,"301-600 Miles","0.00 lb","0.00 lb","0.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",LTR,"NEW ORLEANS",701233170,US,ATLANTA,30349,US,24.66,12.19,71.00,,,2.31,,18.50,,14.78,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Published Rate not found for this service"
1Z3404530366215338,1Z3404530366215338,0000340453,000000340453103,2023-03-11,"Ground Comm(D)",2023-03-07,Miscellaneous,"28.00 lb","28.00 lb","28.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,NEWTOWN,18940,US,9.47,0.00,0.00,,,1.42,,15.50,,10.89,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
,1Z813VF70141027841,0000343260,000000343260093,2023-03-04,"1Day AM(D)",2023-02-27,"601-1000 Miles","1.00 lb","0.00 lb","0.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",LTR,PEORIA,"61629 0001",US,MIDWAY,32343,US,50.66,30.90,75.00,,,3.36,,16.25,,23.12,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Published Rate not found for this service"
1Z3404530366215338,1Z3404530367683545,0000340453,000000340453103,2023-03-11,"Ground Comm(D)",2023-03-07,Miscellaneous,"28.00 lb","28.00 lb","28.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,NEWTOWN,18940,US,9.47,0.00,0.00,,,1.42,,15.50,,10.89,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530366215338,1Z3404530365429958,0000340453,000000340453103,2023-03-11,"Ground Comm(D)",2023-03-07,Miscellaneous,"28.00 lb","28.00 lb","28.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,NEWTOWN,18940,US,9.47,0.00,0.00,,,1.42,,15.50,,10.89,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530366215338,1Z3404530365898568,0000340453,000000340453103,2023-03-11,"Ground Comm(D)",2023-03-07,Miscellaneous,"28.00 lb","28.00 lb","28.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,NEWTOWN,18940,US,9.47,0.00,0.00,,,1.42,,15.50,,10.89,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
1Z3404530366215338,1Z3404530367013376,0000340453,000000340453103,2023-03-11,"Ground Comm(D)",2023-03-07,Miscellaneous,"28.00 lb","28.00 lb","28.00 lb","0.00 in","0.00 in","0.00 in","0.00 in",PKG,,,,NEWTOWN,18940,US,9.47,0.00,0.00,,,1.42,,15.50,,10.89,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Zone Code Missing in data"
